,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
NWD2,0.9998,0.00019999999999997797,8.516943182665639,0.0020205448,2.1471868e-05,1.1655174,0.0047577852,0.32413793103448313,0.004595588235294115,17.821243,0.22694117,Adipocytes vs Rest,Adipocytes,Rest
ARHGAP20,0.9998,0.00019999999999997797,8.516943182665639,0.0022224914,4.120414e-05,1.1172413,0.008650519,0.4758620689655179,0.007893598615916951,20.217762,0.3779799,Adipocytes vs Rest,Adipocytes,Rest
GYG2,0.9998,0.00019999999999997797,8.516943182665639,0.0017313662,1.0425874e-05,1.3862066,0.002649222,0.462068965517242,0.002595155709342559,22.76719,0.11007324,Adipocytes vs Rest,Adipocytes,Rest
FASN,0.9996,0.00039999999999995595,7.823620941151559,0.01175618,8.7025524e-05,7.0620675,0.02508645,0.8413793103448289,0.022166955017301253,129.07437,1.0846257,Adipocytes vs Rest,Adipocytes,Rest
DGAT2,0.9994,0.0006000000000000449,7.417964066154244,0.0037520356,1.6426953e-05,2.6827574,0.005028114,0.5931034482758629,0.004865916955017298,43.613537,0.19409624,Adipocytes vs Rest,Adipocytes,Rest
LINC00598,0.9994,0.0006000000000000449,7.417964066154244,0.008362605,0.00014017697,6.517239,0.03714303,0.7172413793103459,0.02827638408304529,88.671844,1.560664,Adipocytes vs Rest,Adipocytes,Rest
GPAM,0.9994,0.0006000000000000449,7.417964066154244,0.026442472,0.00014317124,17.372416,0.03579139,0.8965517241379325,0.031520328719723524,280.34048,1.5659052,Adipocytes vs Rest,Adipocytes,Rest
PLIN1,0.9988,0.0011999999999999789,6.724224678325084,0.0055044405,2.1240492e-05,2.7999985,0.0043793265,0.8068965517241392,0.004325259515570932,52.92176,0.19648609,Adipocytes vs Rest,Adipocytes,Rest
GPD1,0.9988,0.0011999999999999789,6.724224678325084,0.003226065,2.1936079e-05,1.7586198,0.007352935,0.6206896551724147,0.007298875432525947,30.20379,0.255079,Adipocytes vs Rest,Adipocytes,Rest
ADIPOQ,0.9988,0.0011999999999999789,6.724224678325084,0.0037080687,1.9709307e-05,2.324136,0.0036224066,0.5931034482758629,0.003352076124567472,33.361748,0.2177632,Adipocytes vs Rest,Adipocytes,Rest
MLXIPL,0.9988,0.0011999999999999789,6.724224678325084,0.005262528,4.230105e-05,2.9862058,0.013083932,0.7724137931034495,0.011732266435986214,51.871323,0.46125242,Adipocytes vs Rest,Adipocytes,Rest
AL356479.1,0.9984,0.0016000000000000458,6.4361441284049565,0.0017856419,1.0652489e-05,0.73793113,0.0021626295,0.32413793103448313,0.0021085640138408294,14.77842,0.090952694,Adipocytes vs Rest,Adipocytes,Rest
CIDEC,0.9984,0.0016000000000000458,6.4361441284049565,0.0023400355,7.3853193e-06,1.1379308,0.001405709,0.5103448275862076,0.001405709342560553,21.80977,0.0575642,Adipocytes vs Rest,Adipocytes,Rest
LGALS12,0.9982,0.0018000000000000238,6.318161446611285,0.0015343643,5.4013976e-06,0.68965536,0.0009731832,0.3517241379310349,0.0009731833910034599,10.6674595,0.059477255,Adipocytes vs Rest,Adipocytes,Rest
SLC7A10,0.998,0.0020000000000000018,6.212601105784058,0.00073560665,1.9680422e-06,0.40000007,0.00059472315,0.17241379310344834,0.0005947231833910035,6.085666,0.01976179,Adipocytes vs Rest,Adipocytes,Rest
PNPLA3,0.998,0.0020000000000000018,6.212601105784058,0.00422595,1.4091511e-05,2.0206888,0.0028114195,0.5379310344827594,0.002757352941176469,28.45816,0.12794733,Adipocytes vs Rest,Adipocytes,Rest
SCD,0.9978,0.0021999999999999797,6.11709095964051,0.010853131,7.019695e-05,5.2068954,0.014165248,0.5931034482758629,0.012489186851211139,94.64934,0.7469498,Adipocytes vs Rest,Adipocytes,Rest
PTPRF,0.9978,0.0021999999999999797,6.11709095964051,0.0027087128,3.6808546e-05,1.4689646,0.01129975,0.6000000000000009,0.010650951557093464,26.615402,0.43812943,Adipocytes vs Rest,Adipocytes,Rest
HK2,0.9978,0.0021999999999999797,6.11709095964051,0.002509623,6.677776e-05,1.1172413,0.023788901,0.4551724137931041,0.01984212802768184,19.38953,0.76376814,Adipocytes vs Rest,Adipocytes,Rest
SLC19A3,0.9976,0.0023999999999999577,6.029879500378016,0.0048314976,2.2532393e-05,2.9103432,0.0046496545,0.5724137931034491,0.004325259515570932,51.325165,0.26808465,Adipocytes vs Rest,Adipocytes,Rest
